r,Satisfiability,Conflicts,Decisions,Propagations,Time
0.2,1,0,142,151,0.000062
0.2,1,0,147,150,0.000020
0.2,1,0,142,151,0.000019
0.2,1,0,145,151,0.000018
0.2,1,0,146,149,0.000018
0.4,1,0,142,151,0.000020
0.4,1,0,133,151,0.000020
0.4,1,0,133,151,0.000019
0.4,1,0,135,151,0.000019
0.4,1,0,141,151,0.000019
0.6,1,0,127,151,0.000020
0.6,1,0,128,151,0.000020
0.6,1,0,133,151,0.000020
0.6,1,0,131,151,0.000020
0.6,1,0,131,151,0.000022
0.8,1,0,119,151,0.000023
0.8,1,0,125,151,0.000022
0.8,1,0,119,151,0.000023
0.8,1,0,129,151,0.000021
0.8,1,0,121,151,0.000021
1.0,1,0,108,151,0.000022
1.0,1,0,113,151,0.000023
1.0,1,0,130,151,0.000022
1.0,1,0,124,151,0.000024
1.0,1,0,104,151,0.000023
1.2,1,0,113,151,0.000027
1.2,1,0,110,150,0.000024
1.2,1,0,109,151,0.000024
1.2,1,0,101,151,0.000023
1.2,1,0,120,151,0.000022
1.4,1,0,103,150,0.000022
1.4,1,0,98,151,0.000023
1.4,1,0,104,151,0.000030
1.4,1,1,116,182,0.000039
1.4,1,0,103,151,0.000024
1.6,1,0,88,151,0.000030
1.6,1,0,99,151,0.000028
1.6,1,0,99,151,0.000024
1.6,1,0,84,151,0.000025
1.6,1,0,92,151,0.000024
1.8,1,0,90,151,0.000026
1.8,1,2,106,207,0.000039
1.8,1,0,85,151,0.000028
1.8,1,0,86,151,0.000028
1.8,1,1,80,171,0.000031
2.0,1,3,97,199,0.000039
2.0,1,1,82,168,0.000028
2.0,1,0,71,151,0.000027
2.0,1,0,83,151,0.000025
2.0,1,2,89,213,0.000043
2.2,1,0,68,151,0.000041
2.2,1,3,77,175,0.000036
2.2,1,0,78,151,0.000027
2.2,1,3,67,191,0.000038
2.2,1,1,76,168,0.000030
2.4,1,4,68,208,0.000040
2.4,1,2,65,263,0.000045
2.4,1,2,57,190,0.000041
2.4,1,4,76,256,0.000054
2.4,1,1,66,157,0.000034
2.6,1,4,69,237,0.000049
2.6,1,0,57,151,0.000030
2.6,1,1,58,181,0.000036
2.6,1,4,79,216,0.000049
2.6,1,0,54,151,0.000032
2.8,1,3,68,257,0.000053
2.8,1,3,82,254,0.000049
2.8,1,4,78,302,0.000056
2.8,1,13,66,519,0.000100
2.8,1,3,51,215,0.000047
3.0,1,0,48,151,0.000033
3.0,1,6,51,315,0.000068
3.0,1,6,52,298,0.000064
3.0,1,0,44,151,0.000031
3.0,1,0,42,151,0.000031
3.2,1,28,80,1184,0.000214
3.2,1,40,100,1317,0.000245
3.2,1,4,60,221,0.000048
3.2,1,4,47,267,0.000054
3.2,1,17,68,644,0.000120
3.4,1,82,148,2719,0.000506
3.4,1,76,131,2306,0.000413
3.4,1,2,35,224,0.000054
3.4,1,17,61,769,0.000137
3.4,1,109,164,3434,0.000666
3.6,1,111,174,3588,0.000635
3.6,1,146,198,4477,0.000847
3.6,1,24,76,684,0.000133
3.6,1,822,1064,26496,0.005881
3.6,1,9,55,402,0.000091
3.8,1,80,139,2709,0.000467
3.8,1,193,267,6841,0.001221
3.8,1,46,90,1632,0.000288
3.8,1,563,679,18036,0.003791
3.8,1,322,417,9990,0.001932
4.0,1,1029,1255,30689,0.007250
4.0,1,1411,1694,42475,0.011246
4.0,1,150,221,4834,0.000889
4.0,1,566,698,17336,0.003724
4.0,1,1166,1433,36709,0.008854
4.2,1,3219,3806,98370,0.028126
4.2,1,294,372,9531,0.001827
4.2,0,3704,4327,112383,0.030612
4.2,0,4511,5340,139906,0.040642
4.2,1,200,262,5811,0.001139
4.4,0,2987,3545,83874,0.024051
4.4,0,5295,6192,151891,0.047203
4.4,0,4049,4807,116781,0.034129
4.4,1,537,656,15301,0.003289
4.4,0,3620,4323,105431,0.028099
4.6,0,2641,3063,73212,0.019342
4.6,0,3729,4307,112269,0.033934
4.6,0,2101,2446,58610,0.016376
4.6,0,2736,3157,76153,0.022198
4.6,0,3021,3520,85861,0.023608
4.8,0,3023,3527,85370,0.023340
4.8,0,1305,1512,34706,0.008145
4.8,0,2687,3125,74010,0.021392
4.8,0,1323,1550,36878,0.008921
4.8,0,1686,1988,48379,0.011791
5.0,0,1865,2186,52228,0.013447
5.0,0,884,1040,23163,0.005301
5.0,0,2089,2450,58145,0.015099
5.0,0,1297,1488,33862,0.008174
5.0,0,1285,1487,36580,0.008354
5.2,0,1103,1307,29264,0.006724
5.2,0,1406,1686,38073,0.009385
5.2,0,1186,1358,31074,0.007833
5.2,0,954,1161,25667,0.005943
5.2,0,2176,2531,59308,0.015863
5.4,0,906,1049,23652,0.005420
5.4,0,932,1049,24443,0.005298
5.4,0,1014,1163,26921,0.006320
5.4,0,420,493,10190,0.002209
5.4,0,812,982,20508,0.004882
5.6,0,1002,1162,26187,0.006298
5.6,0,828,973,21641,0.004766
5.6,0,622,754,15937,0.003475
5.6,0,757,879,19310,0.004559
5.6,0,1032,1185,26030,0.006252
5.8,0,573,679,14109,0.003081
5.8,0,625,746,15547,0.003390
5.8,0,502,596,12467,0.002718
5.8,0,1125,1315,28365,0.006911
5.8,0,637,738,15098,0.003721
6.0,0,519,614,12838,0.002796
6.0,0,574,642,14022,0.003300
6.0,0,477,563,11464,0.002512
6.0,0,320,369,7156,0.001606
6.0,0,373,416,9046,0.001996
